,Presentations slides,Tools to be made,Typos checked (From column E - L),,,,HARD ENTER,HARD ENTER,HARD ENTER,HARD ENTER,HARD ENTER,,,,
Tool #,Phase,SubPhase,Tool Name,About,Limitations,Time,Use Cases,Step By Step,Understanding the tool,Facilitator How to,Facilitator Question bank,PresCheck (put 1 if tool is only a presentation),Facilitation Deck Check (put 1 if non-presentation tool has Facilitation Slides otherwise leave blank),Video Link,Video Link Name
1,"STRATEGY, INNOVATION & IMPACT",VISION BUILDING,Startup Canvas,"The Startup Canvas summarises the most important elements of an organisation's business model, and is especially useful for early stage startups to think through the different elements. The version of the canvas being used here is inspired by the Lean methodology version of the Business Model Canvas (BMC).
","The Startup Canvas tool is not a problem solving tool as such. It has limited capacity to answer what the ‘right’ model for a business is. It is best used as an evolving summary or dashboard.
",90-120 Min,"Investigate and map how ideas or solutions could be transformed into a holistic business model. 
Map current business models, identify gaps and opportunities (priorities), and outline interdependencies. 
Use the canvas as a dashboard to document each stage of evolution of the business model, and reflect on investments and results.","Familiarise yourself: Read through the various boxes in the Startup Canvas. You'll notice the columns on the left have to do with internal activity, and the ones to the right, refer to external forces.
Get started: As a business, what do you have most clarity on? Is it your understanding of your customer segment or of the needs you are addressing through your business? Start with the side of the canvas you think you know better.
Complete: Go through each box and fill out as much as you can. It is completely fine not to know the answer to specific areas in the first go.
Identify knowledge gaps and priorities: Once the worksheet is completed to the best of your knowledge, jot down the knowledge gaps and priorities under each section. These could be issues, opportunities, or just lack of information about a particular area.
","The ‘Problem’ section is to be used to highlight the core problems that users face, and that the startup is attempting to solve (through its product or service). These are not problems that the startup is facing as an organisation.
Use ‘Customer Segments’ to identify the specific profile of users by whom the problem is most acutely felt. Profiles can be very specific, and may be quantised in terms of segments/market size (if data is available).
‘Solution’ is how the startup plans to address the problem. It could be a product, service, system or a combination of them.
‘Unfair Advantage’ is the distinct, hard to copy, competitive advantage the startup enjoys.
‘Unique Value Proposition’ is the core compelling message for the user that communicates the value the startup is creating for them.
‘Channels’ are the ways in which the user will interact with the solution - the way users will become aware of the solution, experience it for the first time, purchase, and continue to use.
‘Key Metrics’ are measures of the business's success in reaching and serving the user. This includes things like impressions, queries, sign ups, transactions, value of transactions, renewals, etc.
‘Cost Structure’ is the way costs are distributed between fixed and variable costs, and capital investments.
‘Revenue Streams’ are the ways in which revenue is generated - examples could be one time payments, subscription charges, loyalty fees, tiered pricing, etc.
","At the start: Make sure the participants understand the goal of the activity and the direction. Refer to facilitation questions if they are feeling stuck.
During the exercise: Start with participants’ existing knowledge of their business to create a first version of the model. Encourage participants to highlight any component they don't know the answer to, for discussion later.
At the close: Have participants walk you through their completed canvases, and probe them on the core strengths and weaknesses they would like to build upon.
","Which part of the business do you have the best view on? What are you least informed on?
Is there anything in here you would like to understand better? Eg. customer segment, value proposition, etc.
Do you expect your fundamental model and this canvas to change in the next 6 months?
Can you think of any other things you would like to add to this canvas? Are there any links between boxes called out?
What are your company's goals in the next 3-6-12 months? Are you considering them as you map your priorities?
How do you know something is a priority? Is there agreement within your team that these are the top priorities? Is there some assumption involved?
Do your priorities depend on each other? Are there 1-2 core priorities at the root of all the different challenges you might be facing?
",,1,https://www.youtube.com/watch?v=pvIN9STpzCQ,Lean Canvas | Railsware
2,"STRATEGY, INNOVATION & IMPACT",VISION BUILDING,Ten Types of Innovation,"The Ten Types of Innovation framework is a tool developed by consulting firm, Doblin. It maps the fundamental types of innovations that are relevant to organisations, and helps them look at innovation as a holistic activity that involves internal as well as customer facing investments. Under each type of innovation, Doblin has suggested a few strategies and tactics to use as a starting point.","While the Ten Types of Innovation tool is fairly comprehensive, it may be possible that an organisation is looking to offer innovations that are a combination of the different types — causing some initial confusion. Also, the tactics listed may not cover some new trends that teams may need to scan and map.",90-120 Min,"Map the types of innovation that are currently being offered by an organisation.
Identify strengths and weaknesses with regard to innovation at an organisation.
Identify new types of innovation that an organisation can consider.
","Familiarise yourself: Read through the various boxes of the Ten Types of Innovation. Note down what you think is the biggest differentiator in terms of innovation for your business.
Identify key innovations: At the level of Configuration, Offering, and Experience - begin by noting down what makes the business innovative currently. If you have thoughts on what could potentially be future innovations, note them down as well.
Review the tactics: Read through the tactics under each type of innovation, using the ‘Tactics Cheat Sheet’.
Unpack the innovation: Next, for each type of innovation, note down what makes your business innovative currently. Follow that by noting down potential innovations to explore in the future.
Review and brainstorm: Review the mapping of current and potential innovations. Make any necessary changes, and then brainstorm how potential innovations could be created.
","There are three major categories of innovation under which the Ten Types fit.
‘Configuration’: Innovation that focuses on how an organisation is structured. The types of innovation that fall under this category include - 1) Profit Model: How money is made — how revenue, costs and profits are organised, 2) Network: Who an organisation innovates with — how do suppliers, partners, and external innovators help, 3) Structure: How an organisation aligns its talent and assets to create more value — how are departments, units, business lines etc. organised, 4) Process: How do superior internal processes and methods help innovation — how are quality management, production, supply, procurement, hiring etc. delivered.
‘Offering’: Innovation that focuses on the performance and quality of products and services that are offered to customers. The types that are in this category are - 1) Product Performance: How products and services deliver superior value to buyers — unique product features and functionality, style, speed, safety, ease, fun, etc., 2) Product System: How complementary products and services together create more value — accessories, platforms, value added services, partner discounts, etc.
‘Experience’: Innovation that focuses on how products or services are experienced by users. The types under this category are - 1) Service: How support is provided for users to find, buy, pay, enjoy and dispose — trials, personalisation, delivery and returns, financing, self-service, warranties, repairs etc. 2) Channel: How products and services reach users — pop-up stores, e-commerce, partner stores, events, experience stores etc., 3) Brand: How offerings and organisations are communicated in a memorable, and likeable way — co-branding, own-label, certification, campaigns, packaging etc. 4) Customer Engagement: How user interactions with product or service are delivered — personalised, listening to customers, co-creation, community etc.
","At the start: Make sure the participants understand the goal of the activity and the direction. Refer to facilitation questions if they are feeling stuck.
During the exercise: Start with a discussion focused on what kinds of innovation are possible. Take teams through the Ten Types tool, and ask them to fill the worksheet — mapping currently adopted innovations, gaps and opportunities.
At the close: Have participants walk you through the worksheet they have filled out, and probe them on the mapping of both their current and potential innovations.
","What do you associate with the word ‘innovation’? How does your organisation look at innovation?
Is your organisation currently innovating in terms of internal processes, product, service performance, experience — or a combination of these? What is your most important innovation?
What is the biggest gap in terms of innovation for your organisation? How do you compare to your closest competitors?
In terms of configuration — have you looked at internal processes and structures before or have you focused only on external facing innovations?
In terms of Offering and Experience - what do you know about what your customers need? Are your innovations tuned to customer needs?
Have you gone through the tactics? Can you identify those you have been practicing? Is there anything missing that you want to make a note of?
Which tactics have you considered earlier and chosen not to go forward with? Which tactics are new to you? What do you potentially want to try out?
Does your organisation need incremental or transformational innovation?
",,,https://www.youtube.com/watch?v=XKvhhqGJ80U,Ten Types of Innovation | Deloitte US
3,"STRATEGY, INNOVATION & IMPACT",VISION BUILDING,Product Roadmap,"Roadmapping is an important step of clarifying the direction of a startup or programme over the next few weeks, and months. It helps teams align on their priorities and challenges moving forward.",Teams may be reluctant to get into details of their internal plans in front of a larger workshop audience.,60-90 Min,"Build consensus on a company's or programme's strategic direction.
Identify key milestones, and responsibilities for each team.
Formulate an actionable plan for teams to work towards.
","Map goals for phases: Review the various phases of development (POC, MVP, Alpha, Beta, Launch). Start by discussing what goals, the team should set for itself. Go phase by phase, map goals through consensus.
Map teams and effort: In the left-most column, identify the different teams, functional/discipline wise (like marketing, technology, design), and cross-functional/multidisciplinary (like a payments team may have individuals from technology, design, and partnership teams working together). For each team, write down expected activities under each. Estimate the kind of skills and the number of people required. This has to be a loose estimate at the beginning, becoming more concrete as the product or service offering evolves.
Map resources: Some teams may want to additionally map a resourcing roadmap - financial, material, and technical resources that may be needed to achieve each phase.
Map timelines: Add the different phases against expected timelines (in terms of weeks and months).
Digitise and share: After completion, share your roadmap within your team, and with other stakeholders.
Note: Use different colour sticky notes for goals, activities, resources, and timelines.
","The tool helps a team approach product, service or system development through a series of iterative activities and phases.
The ‘Team’ column aims to identify teams involved in different phase and their key roles and responsibilities. Teams could be research, design, technology, marketing, sales, strategy or any other group involved in product or service development.
Under each phase (POC, MVP, Beta, Launch), a team should first map goals and then the activities of the different teams towards achieving these goals. Next, map the resources required (material, financial, technical), and finally the timelines (weeks and months). Each type of data (goals, activities, investments, and time) should be written down on sticky notes of different colours.
‘POC’ or Proof Of Concept is the first tangible version of the concept. A POC validates basic assumptions with regard to functionality (of the solution) and desirability (addresses basic user needs), without necessarily having resolved all technical issues.
‘MVP’ short for Minimum Viable Product, refers to the earliest experienceable version of a service or product (with only key/necessary features). An MVP is used to better understand the core of the business opportunity, and check if customers respond favourably.
‘Alpha’ is the first product or service release with a set of actual users in a controlled, experimental environment. This allows for feedback from a sizeable set of real users, without having resolved all bugs and technical challenges.
‘Beta’ is the first public release used to gather feedback from a wide array of users. Beta tests often serve as a 'soft launch' for a product or service, testing an organisation's ability to respond to feedback. It is the stage to reach 'early adopters' who have the potential to become users.
‘Launch’ milestones cover any final priorities before going to market at scale; like additional features to be integrated, service elements refined, adjustments in communication, distribution channel logistics, etc.
‘Success Metrics’ for each phase should be derived from goals set, and help measure whether the goals have been achieved. Metrics should be both internal facing, and external market focused.
","At the start: Make sure the participants understand the goal of the activity and the direction. Refer to facilitation questions if they are feeling stuck.
During the exercise: Help participants understand where they stand on the roadmap and if any edits should be made to the template.
At the close: Make sure clear milestones have been formulated, and encourage participants to get input from representatives of the teams listed in the roadmap that may not have been available for the activity.
","Are you familiar with this format? Do you use a version of this in your organisation?
What kind of visibility do you have into what the next 3-6-12 months look like? What are some key goals for each phase?
How far are you currently on this roadmap? Should anything here be changed to reflect your own approach?
What are the different kinds of teams you have in your organisation? What are the different project teams? Let's list the major ones in the left column.
What kind of milestones have you been using so far? How do they link to the different teams?
How well have your milestones worked for you?
What kind of metrics have you been using? Are those tied to the milestones?
Do your metrics cover both internal, and external elements?
",,,https://www.youtube.com/watch?v=DaJIT93LzTo,Product Roadmapping | App Annie
4,"STRATEGY, INNOVATION & IMPACT",VISION BUILDING,SWOT Analysis,The SWOT analysis is a simple tool used to assess a company or programme's current activity by looking at internal and external forces influencing it.,"The SWOT tool is used to undertake an overarching analysis of a business, product, service or system. It accounts for both internal (Strengths and Weaknesses) and external (Opportunities and Threats) forces that impact strategy and decision making.",30-60 Min,"Assess the overall strategic and operational well being of a product or programme.
Identify specific priorities to act on.
Compare performance with competition.
","Discuss the business: Discuss how your startup or business is doing as you go through each of the four quadrants.
Populate the matrix: Start adding notes into each quadrant, and add any questions or doubts that come to mind.
Summarise and review: Highlight priorities and other key points on each quadrant. Discuss how you could potentially address these priorities.
","Use the ‘Strengths’ section to highlight what the product or business does best. This can be features, pricing, process, team, partnerships, etc.
‘Weaknesses’ should cover internal shortcomings of the team or product. These could be pointed out by, both users and internal teams.
‘Opportunities’ should be used to make a note of external trends and forces that provide a positive chance for the organisation to benefit.
‘Threats’ are the external factors that pose a risk and could create potential loss for the organisation.
","At the start: Make sure the participants understand the goal of the activity and the direction. Refer to facilitation questions if they are feeling stuck.
During the exercise: Start with participants’ personal understanding of their businesses and offerings to create a first version, and then dig deeper.
At the close: Have participants walk you through the 2x2 they have created. Probe them on their priorities and how they intend to approach them.
","Which parts of your business are you most proud of?
What are the things that the organisation is most worried about?
Are internal factors likely to bother you, or do externalities worry you more?
What do you think you can improve as an organisation or business?
Did you face any new challenges in the past few months? Are those likely to persist?
Are there inherent risks and threats in the domain you are in? What are some evolving trends?
How is the competitive landscape evolving? What does it mean for your business?
",,,https://www.youtube.com/watch?v=pUTZ6NOWeYs,SWOT Analysis | Ducere Global Business School
5,"STRATEGY, INNOVATION & IMPACT",VISION BUILDING,Theory of Change,"Theory of Change (TOC) is a framework to map 'desired change' against input activities and investments. It helps innovators build relevant strategies for change by differentiating between results and impact. The framework also helps link long term and short-term goals, creating a logical flow that can be used to guide efforts. The TOC is especially relevant to social businesses, and development sector organisations, because impact is critical. However, business sector organisations may also use it to consider their own ability to create impact. 'Product Roadmap' and 'Activity Plan' can be used to inform the TOC exercise and vice versa.
","While the TOC helps identify potential strategy, there is little guarantee that activities and resources identified at an early stage will lead to estimated impact on ground. TOCs are often revisited and refined as data from the ground starts emerging.
",90-120 Min,"Create an end to end summary of the intended impact strategy of a programme or business at conceptualisation.
Diagnose and reflect on actual impact and fine tune strategy.
Identify human and resource investments needed to create impact.
","Define a vision: Discuss the intended impact of the program or service with your team.
Unpack the necessary resources: First fill in the left side of the tool to list the basic financial, people and material resources needed (or available) to roll out the programme. List down activities that these resources would help carry out. A team may choose to start with activities first, and then list resources (in case it is a proposal to raise resources).
Link efforts to impact: Link resources and activities to outputs (short-term) and outcomes (long-term) that together represent long-term impact.
List assumptions: Review the template and call out assumptions you may be making at each step. Discuss what these assumptions are, and what could be done to counter them.
","The ‘Resources & Inputs’ section is meant to park the human, knowledge, skill, financial, technological, infrastructural, systemic capabilities that are required to create impact.
‘Activities’ are those tasks that the resources will help undertake. The nature of these tasks could be both user facing (awareness building, on-boarding, servicing, etc.) and internal (process development, skill building, hiring, technology adoption, etc.). Investors need to be convinced that resources are being spent on priority activities.
‘Outputs’ are the most basic numbers and metrics that help measure results achieved because of investments made. The outputs help understand the extent of effort (for example, number of people reached, campaigns undertaken, number of learning sessions held, etc.), without going into whether the efforts were successful or not.
‘Outcomes’ are deeper metrics than outputs, and start focusing on both the quantity and quality of results. The stress is importantly on short-medium term impact metrics (for example, level of awareness in people because of campaign, skills built in people because of x number of learning sessions, etc.).
‘Impact’ focuses on longer term shifts — on real, lasting impact created by interventions. The translation of outcomes and outputs into change is really brought to the fore here (for example, does awareness lead to better decision making and choice? do skills lead to an enhanced ability to be financially empowered?).
‘Assumptions’ are risk factors that an innovator needs to keep in mind as the TOC is being built. Assumptions are important to study and adjust as implementation is done.","At the start: Make sure participants understand the goal of the activity and the direction. Refer to facilitation questions if they are feeling stuck.
During the exercise: Start with participants’ existing knowledge of their strategic and operational plans, create a first version of the map. Discuss how they currently measure impact of their own investments.
At the close: Have participants walk you through the map and at each step, question them on their approach to their plans and assumptions.","What is the long-term impact that you want to create?
What are some key resources and capabilities that you have access to?
What sort of activities are your current resources and capabilities being utilised for?
What kind of quantitative results or outputs (short and long term) do your resources and activities help you create? Do these outputs help you achieve desired long-term change?
What are the desired output levels? What kind of additional resources do you need to get to these levels? How do you plan to access these resources?
What kind of qualitative change or outcomes (short and long term) will the current output levels help you produce? Do these outcomes achieve your long-term change goal?
What are the desired outcomes? What kind of additional outputs do you need to get to the desired outcomes? How do you plan to create these outputs?
What kind of impact will current outcomes and outputs help achieve? How does this level of impact compare to desired long-term change?
What are some key assumptions at each stage of the mapping? What can we do to minimise risk from these assumptions?
If we were to aim for ideal long-term change — what would a supporting pool of resources and capabilities look like? Is it feasible to consider if these resources can be raised? How?
What are some activities that additional resources would help undertake? How will these activities help achieve desired outputs and outcomes?
",,,https://www.youtube.com/watch?v=6zRre_gB6A4,Theory of Change | DIY Toolkit
6,"STRATEGY, INNOVATION & IMPACT",VISION BUILDING,Visioning Poster,"The Visioning Poster exercise is a short and fun activity to get participants to share individual and group visions with regard to an offering, organisation, programme, or any other relevant theme.
",Drawing the poster is a fun activity and not meant to be a thorough visioning exercise in that sense. It should potentially be used as an activity to kick start the conversation around the group vision.,15 Min,"Start a conversation on the team's shared vision.
Highlight potential end states that are desirable and exciting.
","Identify a concept: For the context provided, discuss a concept that resonates with the team.
Assign roles: Decide roles within the team — sketchers, storyteller, copywriter, presenter, etc.
Make & Present: Make a clear, compelling poster, and discuss how to share it with the audience.
","A vision is an end state for a particular context (for example, What will a successful start-up accelerator program look like? What will a successful organisation be like in 10 years?) This has to be set by the facilitator of this exercise.
The activity does not need a template, only a context, and a time frame. Teams are free to be creative, and think of unique ways of sharing their vision.","At the start: Clearly frame what is being visualised, provide the context and the time frame.
During the exercise: Encourage the team to start, it doesn't matter if it's not perfect.
At the close: Have everyone share their concept and discuss what the different visions mean for each group. ","Is everyone clear on the context, and the time frame?
What does this vision mean to you as a group? Is a shared vision clear to you?
Do you have a concept you are happy with?
Have you assigned roles? Who will be writing? Who will be sketching?
Can you walk us through the poster?
What does visualising the vision do for your team?
",,,,
7,"STRATEGY, INNOVATION & IMPACT",PLANNING & PROJECT MANAGEMENT,Activity Plan,"The Activity Plan is a tool that helps teams map their tasks, resources and people, over a timeline.",Activity Plan is an open-ended tool that can be used in a number of very diverse cases. It therefore lacks the specificity of a Product Roadmap.,30 Min,"Build a future calendar of activities for a team.
Set clear milestones for organisers or managers to check-in with teams.
Clarify expectations, roles, and responsibilities for individuals and groups.
","Discuss broad plan: Discuss and map milestones and timelines as a team.
Outline tasks: Make a note of tasks under each milestone.
Allocate resources: Identify resources needed to complete tasks and achieve milestones.
Identify owners: Identify owners for the different tasks and milestones.
","The ‘Timeline’ column is to be used to map relevant milestones (for example, in terms of phases - plan, research, build, test), and time needed (for example - 3-6-9-12 months, 1-2-4-6 weeks) by a team.
The ‘Tasks to be completed’ section is where the tasks/activities to be completed are listed down. This listing should be based on realistic estimation of what can be completed. Any activities that could stretch the team, and risk delay should be clearly called out.
The ‘Resources needed’ section is where resources needed, financial, material or people, to complete tasks are to be noted.
‘Teams involved’ are the teams directly responsible for the tasks to be completed.
","At the start: Make sure participants understand the goal of the activity and the directions. Refer to facilitation questions if they are feeling stuck.
During the exercise: Start with participants’ existing knowledge of their activities and tasks to help them create an initial version of the plan.
At the close: Have participants walk you through their plan and help them space out activities/timelines as needed.
","Are the timelines listed realistic? Do they fit within the time between known milestones, like upcoming bootcamps?
Does the team have the capability to complete the tasks/activities within the given timeframes?
Can the team add more detail, call out assumptions and risks?
",,,,
8,"STRATEGY, INNOVATION & IMPACT",PLANNING & PROJECT MANAGEMENT,SMART Goals,"SMART is an approach to actionable goal definition. It is an acronym that stands for Specific, Measurable, Achievable, Realistic, and Timely.",Whether goals are eventually SMART or not is dependent on how teams choose to define them.,30 Min,"Define clear goals that team members can be held accountable to.
Build consensus within a team on next steps.
","Pick a goal or set of goals: Take the goals in your Activity Plan and use this worksheet to clarify them.
Clarify: Define each goal through the five lenses in the left column.
Get buy-in: Discuss what SMART goals mean for the team.
","The key goals for the team should be mapped at the top. Each goal should then be viewed through the five SMART lenses.
‘Specific’ is the box in which to clearly define the core focus of the goal.
‘Measurable’ focuses on metrics that help track progress towards the goal.
‘Achievable’ should describe feasible results and actions that can help achieve the goal.
‘Relevant’ is to describe why the goal is relevant for the team, and how so.
‘Time-bound’ defines time constraints — short and long term, for achieving the goal.
A revision of goals can be made based on a team's learnings from the mapping of the SMART lenses.
","At the start: Help participants think through the way they are defining goals. Use previously completed activity planning or roadmapping to guide discussion.
During the exercise: Help participants formulate SMART goals, and identify challenges in meeting them.
At the close: Have participants share goals to make sure everyone is on the same page.
","How do you set goals in your team?
How would SMART goals be different from what you have been doing?
What goals or milestones have you identified so far? Are there any other shorter-term goals to address?
How achievable are your goals? Do you have the right resources (staff, time, money) to pull them off?
How do these goals map to your overall strategy as a business or organisation?
",,,https://www.youtube.com/watch?v=1-SvuFIQjK8,SMART Goals | DecisionSkills
9,HUMAN CENTERED DESIGN,OVERVIEW,Introduction to Human Centered Design,"Human Centered Design (HCD) is a creative and logical problem solving method with wide applications in business and social impact. It is also known as Design Thinking. HCD brings together frameworks from different disciplines into a five stage iterative problem solving approach. Its differentiating elements are its focus on users and customers, iteration, and multi-disciplinary collaboration. This module is a short introduction to the method.","This is meant to be a brief overview of the HCD method. As a vast and fast evolving field, there is a lot more to cover - some of which this toolkit is doing - some we encourage learners to discover themselves. There is also no exercise included in this session. ",30-60 Min,Introduce people to the concept of HCD in a brief manner.,,,,,1,,,
